theta,d,a,alpha,sigma (prismatic),offset
0,0,0.07765,-1.570796327,0,0
0,0.28878,0,-1.570796327,0,3.141592654
0,0,0.11647,-1.570796327,0,-1.570796327
0,0.439,0,1.570796327,0,3.141592654
0,0.00072,0,1.570796327,0,3.141592654
0,0.40441,0,-1.927018027,0,-0.5274385
0,0,0,-1.745329252,0,1.596801733
0,0,0,0,1,0
