599379491;45.8454; 58.9454; 1039.17; 0.0987177;-0.0449028;-0.994102;-0.193304;-0.980818;0.0251069;-0.976161;0.189685;-0.105504;0.21414
599382476;45.826; 58.9363; 1039.17; 0.0987285;-0.0450751;-0.994093;-0.193235;-0.980826;0.0252823;-0.976172;0.189597;-0.105546;0.214161
599385461;45.8057; 58.9269; 1039.17; 0.0988264;-0.0452918;-0.994073;-0.193625;-0.980746;0.0254352;-0.976085;0.189964;-0.105693;0.215478
599388446;45.7856; 58.9204; 1039.18; 0.0988201;-0.0453853;-0.99407;-0.193158;-0.980834;0.0255793;-0.976179;0.189485;-0.105693;0.214841
599391431;45.7651; 58.913; 1039.19; 0.0988787;-0.0455159;-0.994058;-0.193196;-0.980824;0.0256927;-0.976165;0.189508;-0.105776;0.214937
599394416;45.7452; 58.9056; 1039.19; 0.0988745;-0.0456548;-0.994052;-0.193243;-0.980811;0.0258253;-0.976156;0.189541;-0.1058;0.215157
599397401;45.7271; 58.9011; 1039.2; 0.0989425;-0.0457432;-0.994041;-0.193142;-0.980829;0.0259107;-0.976169;0.189428;-0.105881;0.215193
599400386;45.71; 58.8974; 1039.2; 0.0988935;-0.0458093;-0.994043;-0.193036;-0.980847;0.0259967;-0.976195;0.189315;-0.105842;0.213854
599403371;45.6923; 58.8946; 1039.21; 0.0989131;-0.045845;-0.99404;-0.192987;-0.980856;0.0260338;-0.976204;0.189261;-0.105867;0.214245
599406357;45.6766; 58.8921; 1039.21; 0.0989119;-0.0459265;-0.994036;-0.193665;-0.980722;0.0260408;-0.976069;0.189934;-0.105899;0.214242
599409342;45.6601; 58.8937; 1039.23; 0.0990865;-0.0458571;-0.994022;-0.19298;-0.980858;0.0260131;-0.976187;0.189249;-0.106039;0.215817
599412327;45.644; 58.8915; 1039.22; 0.0989873;-0.0458202;-0.994033;-0.192884;-0.980877;0.0260062;-0.976216;0.189159;-0.105932;0.214539
